video,candidate,real_or_fake,frame_idx,timestamp_s,crop_path
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,0,0.0,frames_cropped/Biden/Rframes/YKq93dpbd10_0.00s_f000000_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,60,2.0,frames_cropped/Biden/Rframes/YKq93dpbd10_2.00s_f000060_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,120,4.0,frames_cropped/Biden/Rframes/YKq93dpbd10_4.00s_f000120_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,180,6.01,frames_cropped/Biden/Rframes/YKq93dpbd10_6.01s_f000180_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,240,8.01,frames_cropped/Biden/Rframes/YKq93dpbd10_8.01s_f000240_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,300,10.01,frames_cropped/Biden/Rframes/YKq93dpbd10_10.01s_f000300_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,360,12.01,frames_cropped/Biden/Rframes/YKq93dpbd10_12.01s_f000360_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,420,14.01,frames_cropped/Biden/Rframes/YKq93dpbd10_14.01s_f000420_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,480,16.02,frames_cropped/Biden/Rframes/YKq93dpbd10_16.02s_f000480_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,540,18.02,frames_cropped/Biden/Rframes/YKq93dpbd10_18.02s_f000540_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,600,20.02,frames_cropped/Biden/Rframes/YKq93dpbd10_20.02s_f000600_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,660,22.02,frames_cropped/Biden/Rframes/YKq93dpbd10_22.02s_f000660_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,720,24.02,frames_cropped/Biden/Rframes/YKq93dpbd10_24.02s_f000720_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,780,26.03,frames_cropped/Biden/Rframes/YKq93dpbd10_26.03s_f000780_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,840,28.03,frames_cropped/Biden/Rframes/YKq93dpbd10_28.03s_f000840_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,900,30.03,frames_cropped/Biden/Rframes/YKq93dpbd10_30.03s_f000900_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,960,32.03,frames_cropped/Biden/Rframes/YKq93dpbd10_32.03s_f000960_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,1020,34.03,frames_cropped/Biden/Rframes/YKq93dpbd10_34.03s_f001020_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,1080,36.04,frames_cropped/Biden/Rframes/YKq93dpbd10_36.04s_f001080_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,1140,38.04,frames_cropped/Biden/Rframes/YKq93dpbd10_38.04s_f001140_c0.jpg
Biden/Rvids/YKq93dpbd10.mp4,Biden,real,1200,40.04,frames_cropped/Biden/Rframes/YKq93dpbd10_40.04s_f001200_c0.jpg
